City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Luba,GQ,3.4568,8.5547,75.09,80,100,4.9,overcast clouds
80,Alaca,TR,40.1683,34.8425,59.29,69,0,5.3,clear sky
81,Comodoro Rivadavia,AR,-45.8667,-67.5,35.46,87,100,9.22,light rain and snow
82,Bluff,NZ,-46.6,168.3333,31.8,82,78,5.84,broken clouds
83,Alta Floresta,BR,-9.8756,-56.0861,89.42,31,40,4.61,scattered clouds
84,Guapi,CO,2.5708,-77.8854,79.25,81,95,3.2,light rain
85,Channel-Port Aux Basques,CA,47.5702,-59.1367,65.64,83,38,9.42,scattered clouds
86,Vaini,TO,-21.2,-175.2,71.58,70,100,24.18,overcast clouds
87,Ponta Do Sol,PT,32.6667,-17.1,79.72,67,2,4.83,clear sky
88,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,73,0,16.11,clear sky
89,Mataura,NZ,-46.1927,168.8643,31.48,89,100,2.15,overcast clouds
90,Port Alfred,ZA,-33.5906,26.891,58.78,66,100,18.9,light rain
91,Otradnoye,RU,59.7775,30.8181,68.09,97,13,2.48,few clouds
92,Port-Gentil,GA,-0.7193,8.7815,73.36,83,75,6.91,broken clouds
93,Itoman,JP,26.1247,127.6694,84.58,89,20,5.75,few clouds
94,Mandera,KE,3.9366,41.867,83.21,44,72,19.26,broken clouds
95,Roros,NO,62.5747,11.3842,54.41,61,100,2.68,overcast clouds
96,Pisco,PE,-13.7,-76.2167,60.85,82,100,5.75,mist
97,Korla,CN,41.7597,86.1469,86.67,17,0,2.06,clear sky
98,Hobart,AU,-42.8794,147.3294,48.27,93,100,5.75,overcast clouds
99,Kavieng,PG,-2.5744,150.7967,81.72,76,6,11.03,clear sky
100,Maltahohe,NA,-24.8333,16.9833,59.5,31,3,8.5,clear sky
101,Maniitsoq,GL,65.4167,-52.9,45.43,87,82,5.77,broken clouds
102,Arman,RU,59.7,150.1667,57.02,86,100,7.05,overcast clouds
103,Ancud,CL,-41.8697,-73.8203,47.23,90,100,1.72,light rain
104,Muravlenko,RU,63.7898,74.523,50.85,95,100,21.18,moderate rain
105,Grindavik,IS,63.8424,-22.4338,52.27,87,75,11.5,broken clouds
106,Awjilah,LY,29.1081,21.2869,84.27,43,0,15.32,clear sky
107,San Policarpo,PH,12.1791,125.5072,80.78,82,87,1.99,overcast clouds
108,Upernavik,GL,72.7868,-56.1549,42.98,96,100,4.79,overcast clouds
109,Nanortalik,GL,60.1432,-45.2371,44.83,90,89,10.74,overcast clouds
110,Mahibadhoo,MV,3.7833,72.9667,82.85,75,92,13.06,overcast clouds
111,Bredasdorp,ZA,-34.5322,20.0403,47.71,77,17,4.54,few clouds
112,East London,ZA,-33.0153,27.9116,57.78,73,79,21.72,light rain
113,Faanui,PF,-16.4833,-151.75,79.47,72,5,13.18,clear sky
114,Cayenne,GF,4.9333,-52.3333,86.04,1,20,12.66,few clouds
115,Sawtell,AU,-30.3833,153.1,55.42,82,100,8.05,overcast clouds
116,Airai,TL,-8.9266,125.4092,51.17,84,93,1.79,overcast clouds
117,Mar Del Plata,AR,-38.0023,-57.5575,54.09,58,100,3.44,mist
118,Haines Junction,CA,60.7522,-137.5108,62.55,45,92,10.36,overcast clouds
119,Sri Aman,MY,1.2376,111.4621,75.25,94,51,0.0,broken clouds
120,Camargo,MX,27.6667,-105.1667,93.72,22,19,3.62,few clouds
121,Tuatapere,NZ,-46.1333,167.6833,38.43,94,65,2.86,broken clouds
122,Grigiskes,LT,54.6833,25.0833,70.9,84,0,5.75,clear sky
123,Harer,ET,9.3094,42.1258,62.74,68,78,7.58,broken clouds
124,Tasiilaq,GL,65.6145,-37.6368,41.36,75,100,2.21,overcast clouds
125,Butaritari,KI,3.0707,172.7902,81.88,74,22,14.32,few clouds
126,Mozarlandia,BR,-14.7447,-50.5706,93.13,18,0,3.62,clear sky
127,Kabanga,TZ,-2.6386,30.4678,67.71,43,56,5.21,broken clouds
128,Daru,PG,-9.0763,143.2092,76.19,91,92,14.25,overcast clouds
