City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Busselton,AU,2022-07-20 23:02:08,-33.65,115.3333,55.72,94,100,8.95
68,Heihe,CN,2022-07-20 23:06:41,50.2441,127.4902,63.18,74,22,5.59
69,Saint George,US,2022-07-20 23:06:41,37.1041,-113.5841,108.63,14,0,18.41
70,Lebu,CL,2022-07-20 23:06:42,-37.6167,-73.65,52.79,96,100,9.64
71,Laguna,US,2022-07-20 23:06:42,38.421,-121.4238,106.09,21,0,6.91
72,Mporokoso,ZM,2022-07-20 23:06:43,-9.3727,30.125,62.94,51,74,8.48
73,Mar Del Plata,AR,2022-07-20 23:06:43,-38.0023,-57.5575,58.08,60,20,18.99
74,Kodiak,US,2022-07-20 23:02:25,57.79,-152.4072,54.61,78,100,9.93
75,Basco,PH,2022-07-20 23:06:44,20.4487,121.9702,85.41,77,10,12.82
76,Saint-Joseph,RE,2022-07-20 23:06:44,-21.3667,55.6167,68.38,77,29,13.96
77,Derbent,RU,2022-07-20 23:06:45,42.0678,48.2899,72.7,76,1,10.69
78,Broken Hill,AU,2022-07-20 23:06:45,-31.95,141.4333,47.03,94,99,13.18
79,Norman Wells,CA,2022-07-20 23:06:46,65.282,-126.8329,76.77,35,88,6.64
80,Bengkulu,ID,2022-07-20 23:06:46,-3.8004,102.2655,75.2,92,56,3.69
81,Luau,AO,2022-07-20 23:06:46,-10.7073,22.2247,64.67,34,32,6.73
82,Vilcun,CL,2022-07-20 23:06:47,-38.65,-72.2333,45.34,98,100,6.31
83,Klaksvik,FO,2022-07-20 23:02:59,62.2266,-6.589,47.32,92,99,18.75
84,Kattivakkam,IN,2022-07-20 23:06:47,13.2167,80.3167,82.08,82,76,11.34
85,Ostrovnoy,RU,2022-07-20 23:06:48,68.0531,39.5131,46.99,96,20,4.83
86,Nemuro,JP,2022-07-20 23:06:48,43.3236,145.575,59.2,89,68,6.85
87,Hasaki,JP,2022-07-20 23:06:49,35.7333,140.8333,82.29,77,99,6.4
88,Nelson Bay,AU,2022-07-20 23:06:50,-32.7167,152.15,62.11,73,88,17.0
89,Svetlogorsk,BY,2022-07-20 23:06:50,52.6333,29.7333,55.81,73,3,10.27
90,Georgetown,MY,2022-07-20 23:03:02,5.4112,100.3354,80.89,85,20,3.44
91,Andenes,NO,2022-07-20 23:03:11,69.3143,16.1194,58.93,88,75,6.91
92,Sulangan,PH,2022-07-20 23:03:08,11.1373,123.7228,84.52,69,97,2.1
93,Hermanus,ZA,2022-07-20 23:06:51,-34.4187,19.2345,50.95,70,1,4.32
94,Camocim,BR,2022-07-20 23:07:52,-2.9022,-40.8411,77.95,77,66,9.22
95,Purranque,CL,2022-07-20 23:07:52,-40.9167,-73.1667,43.93,95,60,2.15
96,Russell,US,2022-07-20 23:07:53,32.3502,-85.1999,91.0,74,79,5.32
97,Alofi,NU,2022-07-20 23:07:53,-19.0595,-169.9187,76.89,73,75,9.22
98,Ahipara,NZ,2022-07-20 23:07:53,-35.1667,173.1667,55.13,75,76,21.36
99,Hamilton,US,2022-07-20 23:03:00,39.1834,-84.5333,93.22,68,75,13.8
100,Manchar,IN,2022-07-20 23:07:54,19.0,73.9333,70.32,92,99,6.29
101,Umm Kaddadah,SD,2022-07-20 23:07:55,13.6017,26.6876,84.22,49,55,9.73
102,Wenling,CN,2022-07-20 23:07:55,28.3669,121.36,81.57,90,87,8.32
103,Hithadhoo,MV,2022-07-20 23:07:56,-0.6,73.0833,81.07,69,98,3.09
104,Lydenburg,ZA,2022-07-20 23:07:56,-25.0978,30.4597,49.93,82,83,1.79
105,Yellowknife,CA,2022-07-20 23:07:57,62.456,-114.3525,67.19,40,90,13.31
106,Kysyl-Syr,RU,2022-07-20 23:07:57,63.8986,122.7617,66.6,88,100,7.49
107,Narsaq,GL,2022-07-20 23:07:58,60.9167,-46.05,53.82,87,75,2.46
108,Flin Flon,CA,2022-07-20 23:07:58,54.7682,-101.865,70.77,43,89,14.12
109,Muros,ES,2022-07-20 23:04:56,42.7762,-9.0603,68.09,79,5,11.3
110,Avarua,CK,2022-07-20 23:07:59,-21.2078,-159.775,75.25,69,20,20.71
111,Tilichiki,RU,2022-07-20 23:07:59,60.4667,166.1,61.27,42,6,7.45
112,Bonoua,CI,2022-07-20 23:08:00,5.2741,-3.595,76.62,82,32,5.08
113,Port Blair,IN,2022-07-20 23:04:28,11.6667,92.75,78.84,94,100,2.3
114,Lagoa,PT,2022-07-20 23:03:08,39.05,-27.9833,71.58,82,8,3.6
115,Oksfjord,NO,2022-07-20 23:08:00,70.2396,22.3479,62.67,81,92,5.3
116,Cape Town,ZA,2022-07-20 23:06:02,-33.9258,18.4232,57.38,77,0,3.2
117,Bogdanovich,RU,2022-07-20 23:08:01,56.7803,62.0494,53.11,94,11,8.68
118,Mazatlan,MX,2022-07-20 23:08:01,23.2167,-106.4167,91.02,79,75,13.8
119,Dankov,RU,2022-07-20 23:08:02,53.2515,39.1555,53.33,97,59,7.11
120,West Bay,KY,2022-07-20 23:08:02,19.3667,-81.4167,87.08,80,40,6.91
121,Novikovo,RU,2022-07-20 23:08:03,51.1537,37.8879,54.09,96,37,11.21
122,Luderitz,NA,2022-07-20 23:08:03,-26.6481,15.1594,56.34,61,5,15.61
123,Mananjary,MG,2022-07-20 23:08:04,-21.2167,48.3333,66.13,85,58,6.78
124,Aykhal,RU,2022-07-20 23:08:05,66.0,111.5,52.95,64,100,7.49
125,Yonezawa,JP,2022-07-20 23:08:05,37.9167,140.1167,74.12,77,97,2.39
126,Celestun,MX,2022-07-20 23:08:05,20.8667,-90.4,86.11,68,31,22.41
127,Henties Bay,NA,2022-07-20 23:08:06,-22.116,14.2845,54.52,88,0,5.86
128,Cidreira,BR,2022-07-20 23:08:06,-30.1811,-50.2056,62.17,92,0,17.11
129,Puerto Escondido,MX,2022-07-20 23:08:07,15.85,-97.0667,86.83,58,40,5.75
130,Ouesso,CG,2022-07-20 23:08:07,1.6136,16.0517,70.3,97,100,2.21
131,Carnarvon,AU,2022-07-20 23:08:07,-24.8667,113.6333,71.92,76,53,13.85
132,Batagay-Alyta,RU,2022-07-20 23:07:19,67.8006,130.4114,42.75,77,100,2.01
133,Upernavik,GL,2022-07-20 23:08:08,72.7868,-56.1549,48.69,68,89,7.02
134,Avera,US,2022-07-20 23:08:09,33.194,-82.5271,89.38,57,96,10.38
135,Dikson,RU,2022-07-20 23:09:09,73.5069,80.5464,40.77,76,47,26.84
136,Port Alfred,ZA,2022-07-20 23:09:10,-33.5906,26.891,55.18,97,99,1.01
137,Inverell,AU,2022-07-20 23:09:10,-29.7833,151.1167,57.67,65,93,11.01
138,Te Anau,NZ,2022-07-20 23:09:11,-45.4167,167.7167,40.89,89,97,2.8
139,Tuy Hoa,VN,2022-07-20 23:09:11,13.0833,109.3,74.5,94,100,3.65
140,Izvoarele,RO,2022-07-20 23:09:11,45.0333,25.2667,71.04,91,0,6.53
141,Sabang,ID,2022-07-20 23:09:12,5.8933,95.3214,82.65,73,100,21.16
142,Clyde River,CA,2022-07-20 23:09:12,70.4692,-68.5914,37.83,90,100,2.06
143,Saldanha,ZA,2022-07-20 23:09:13,-33.0117,17.9442,52.34,66,0,9.86
144,Baykit,RU,2022-07-20 23:09:13,61.67,96.37,55.6,89,27,2.39
145,Opuwo,NA,2022-07-20 23:09:14,-18.0607,13.84,57.9,35,0,5.93
146,Lavrentiya,RU,2022-07-20 23:09:14,65.5833,-171.0,41.34,78,100,26.66
147,Marawi,PH,2022-07-20 23:09:14,7.9986,124.2928,72.36,91,57,1.45
148,Nanortalik,GL,2022-07-20 23:09:15,60.1432,-45.2371,49.93,86,23,13.67
149,Puerto Ayora,EC,2022-07-20 23:09:15,-0.7393,-90.3518,67.55,99,93,5.99
