City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
253,Tautira,PF,78.69,light rain,-17.7333,-149.15,Pension Oaoa
254,Garlasco,IT,84.31,scattered clouds,45.1974,8.9238,I Diamanti Hotel
256,Samarai,PG,79.21,broken clouds,-10.6167,150.6667,Nuli Sapi
258,Babu,CN,77.9,clear sky,24.4167,111.5167,IU Hotel Hezhou Bus Terminal
260,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
270,Roura,GF,85.91,light rain,4.7263,-52.3274,Amazonie Découverte SARL
272,Coxim,BR,87.82,overcast clouds,-18.5067,-54.76,Hotel Avenida
274,Pauini,BR,84.61,broken clouds,-7.7136,-66.9764,Casa do Kiwliks
279,Eyl,SO,76.87,overcast clouds,7.9803,49.8164,Amiin Hotel
283,Meulaboh,ID,75.61,overcast clouds,4.1363,96.1285,Kost Pria
284,Nata,PA,82.27,overcast clouds,8.3333,-80.5167,Rey David
290,Biak,ID,75.04,broken clouds,-0.9131,122.8766,Penginapan Kim
292,Vila Velha,BR,76.95,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
294,Panalingaan,PH,78.12,few clouds,8.7842,117.4231,I Love Panalingaan View Deck
295,Kieta,PG,79.77,clear sky,-6.2167,155.6333,Uruna Bay Retreat
300,Catemaco,MX,82.47,overcast clouds,18.4167,-95.1167,Hotel Playa Cristal
303,Fare,PF,79.2,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
306,Kudahuvadhoo,MV,82.65,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
307,Kerman,IR,81.41,clear sky,30.2832,57.0788,هتل آپارتمان آسام
310,Labuan,MY,80.44,overcast clouds,5.2767,115.2417,Tiara Labuan Hotel
313,Ribas Do Rio Pardo,BR,83.01,overcast clouds,-20.4431,-53.7592,Pousada Avenida
316,Paraiba Do Sul,BR,77.92,clear sky,-22.1619,-43.2928,Hotel Itaoca
318,Honiara,SB,79.16,scattered clouds,-9.4333,159.95,Heritage Park Hotel
319,Sabang,ID,80.49,overcast clouds,5.8933,95.3214,Hotel Citra
324,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
329,Hambantota,LK,79.14,overcast clouds,6.1241,81.1185,Bungalow 63
337,Sibolga,ID,75.16,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
340,Boa Vista,BR,78.78,moderate rain,2.8197,-60.6733,Aipana Plaza Hotel
341,Umm Lajj,SA,87.01,overcast clouds,25.0213,37.2685,Moon light Furnished Units
342,Cedar City,US,87.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
344,Along,IN,75.31,overcast clouds,28.1667,94.7667,Hotel West
345,Taraza,CO,82.42,overcast clouds,7.5836,-75.4007,Hotel Monteverde
346,Mae Ramat,TH,76.8,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
351,Anloga,GH,76.24,broken clouds,5.7947,0.8973,Pin Drop Hotel
353,Uchiza,PE,88.05,broken clouds,-8.4592,-76.4633,Hotel San Pedro
359,Trairi,BR,79.02,few clouds,-3.2778,-39.2689,janelas do mar
362,Ingham,US,89.22,broken clouds,42.6,-84.3833,Sunset Mobile Home Park
364,Lazaro Cardenas,MX,88.12,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
